Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,,TOTAL HR ASSLEEP,TOTAL HR IN BED,,TIME IN BETWEEN,,RECOMMENDED SLEEPING,,MINIMUM BED TIME,1.016666667,
2026352035,4/21/2016 0:00,1,477,514,,7.95,8.566666667,,37,,1,,,,
2026352035,4/22/2016 0:00,1,520,545,,8.666666667,9.083333333,,25,,0,,,,
2026352035,4/23/2016 0:00,1,522,554,,8.7,9.233333333,,32,,0,,,,
2026352035,4/24/2016 0:00,1,555,591,,9.25,9.85,,36,,0,,,,
2026352035,4/25/2016 0:00,1,506,531,,8.433333333,8.85,,25,,0,,,,
2026352035,4/27/2016 0:00,1,508,545,,8.466666667,9.083333333,,37,,0,,,,
2026352035,4/28/2016 0:00,1,513,545,,8.55,9.083333333,,32,,0,,,,
2026352035,4/29/2016 0:00,1,490,510,,8.166666667,8.5,,20,,0,,,,
2026352035,4/30/2016 0:00,1,573,607,,9.55,10.11666667,,34,,0,,,,
2026352035,5/1/2016 0:00,1,527,546,,8.783333333,9.1,,19,,0,,,,
2026352035,5/2/2016 0:00,1,511,543,,8.516666667,9.05,,32,,0,,,,
2026352035,5/4/2016 0:00,1,538,560,,8.966666667,9.333333333,,22,,0,,,,
2026352035,5/5/2016 0:00,1,468,485,,7.8,8.083333333,,17,,1,,,,
2026352035,5/6/2016 0:00,1,524,548,,8.733333333,9.133333333,,24,,0,,,,
2026352035,5/7/2016 0:00,1,511,521,,8.516666667,8.683333333,,10,,0,,,,
2026352035,5/8/2016 0:00,1,541,568,,9.016666667,9.466666667,,27,,0,,,,
2026352035,5/9/2016 0:00,1,531,556,,8.85,9.266666667,,25,,0,,,,
2026352035,5/10/2016 0:00,1,357,380,,5.95,6.333333333,,23,,1,,,,
2026352035,5/11/2016 0:00,1,523,553,,8.716666667,9.216666667,,30,,0,,,,
2026352035,5/12/2016 0:00,1,456,485,,7.6,8.083333333,,29,,1,,,,
2320127002,4/23/2016 0:00,1,61,69,,1.016666667,1.15,,8,,1,,,,
2347167796,4/13/2016 0:00,1,467,531,,7.783333333,8.85,,64,,1,,,,
2347167796,4/14/2016 0:00,1,445,489,,7.416666667,8.15,,44,,1,,,,
2347167796,4/15/2016 0:00,1,452,504,,7.533333333,8.4,,52,,1,,,,
2347167796,4/17/2016 0:00,1,556,602,,9.266666667,10.03333333,,46,,0,,,,
2347167796,4/18/2016 0:00,1,500,557,,8.333333333,9.283333333,,57,,0,,,,
2347167796,4/19/2016 0:00,1,465,514,,7.75,8.566666667,,49,,1,,,,
2347167796,4/21/2016 0:00,1,460,484,,7.666666667,8.066666667,,24,,1,,,,
2347167796,4/22/2016 0:00,1,405,461,,6.75,7.683333333,,56,,1,,,,
2347167796,4/23/2016 0:00,1,374,386,,6.233333333,6.433333333,,12,,1,,,,
2347167796,4/24/2016 0:00,1,442,459,,7.366666667,7.65,,17,,1,,,,
2347167796,4/25/2016 0:00,1,433,471,,7.216666667,7.85,,38,,1,,,,
2347167796,4/26/2016 0:00,1,436,490,,7.266666667,8.166666667,,54,,1,,,,
2347167796,4/27/2016 0:00,1,448,499,,7.466666667,8.316666667,,51,,1,,,,
2347167796,4/28/2016 0:00,1,408,450,,6.8,7.5,,42,,1,,,,
2347167796,4/29/2016 0:00,1,411,473,,6.85,7.883333333,,62,,1,,,,
3977333714,4/12/2016 0:00,1,274,469,,4.566666667,7.816666667,,195,,1,,,,
3977333714,4/13/2016 0:00,2,295,456,,4.916666667,7.6,,161,,1,,,,
3977333714,4/14/2016 0:00,1,291,397,,4.85,6.616666667,,106,,1,,,,
3977333714,4/15/2016 0:00,1,424,556,,7.066666667,9.266666667,,132,,1,,,,
3977333714,4/16/2016 0:00,1,283,510,,4.716666667,8.5,,227,,1,,,,
3977333714,4/17/2016 0:00,1,381,566,,6.35,9.433333333,,185,,1,,,,
3977333714,4/18/2016 0:00,2,412,522,,6.866666667,8.7,,110,,1,,,,
3977333714,4/19/2016 0:00,1,219,395,,3.65,6.583333333,,176,,1,,,,
3977333714,4/20/2016 0:00,2,152,305,,2.533333333,5.083333333,,153,,1,,,,
3977333714,4/21/2016 0:00,1,332,512,,5.533333333,8.533333333,,180,,1,,,,
3977333714,4/22/2016 0:00,1,355,476,,5.916666667,7.933333333,,121,,1,,,,
3977333714,4/23/2016 0:00,1,235,372,,3.916666667,6.2,,137,,1,,,,
3977333714,4/24/2016 0:00,1,310,526,,5.166666667,8.766666667,,216,,1,,,,
3977333714,4/25/2016 0:00,1,262,467,,4.366666667,7.783333333,,205,,1,,,,
3977333714,4/26/2016 0:00,1,250,371,,4.166666667,6.183333333,,121,,1,,,,
3977333714,4/27/2016 0:00,1,349,540,,5.816666667,9,,191,,1,,,,
3977333714,4/28/2016 0:00,1,261,423,,4.35,7.05,,162,,1,,,,
3977333714,4/29/2016 0:00,1,333,478,,5.55,7.966666667,,145,,1,,,,
3977333714,4/30/2016 0:00,1,237,382,,3.95,6.366666667,,145,,1,,,,
3977333714,5/1/2016 0:00,1,383,626,,6.383333333,10.43333333,,243,,1,,,,
3977333714,5/2/2016 0:00,1,230,384,,3.833333333,6.4,,154,,1,,,,
3977333714,5/3/2016 0:00,1,292,500,,4.866666667,8.333333333,,208,,1,,,,
3977333714,5/4/2016 0:00,1,213,336,,3.55,5.6,,123,,1,,,,
3977333714,5/5/2016 0:00,1,318,480,,5.3,8,,162,,1,,,,
3977333714,5/6/2016 0:00,1,323,512,,5.383333333,8.533333333,,189,,1,,,,
3977333714,5/7/2016 0:00,1,237,443,,3.95,7.383333333,,206,,1,,,,
3977333714,5/8/2016 0:00,2,259,456,,4.316666667,7.6,,197,,1,,,,
3977333714,5/10/2016 0:00,1,312,452,,5.2,7.533333333,,140,,1,,,,
4020332650,4/12/2016 0:00,1,501,541,,8.35,9.016666667,,40,,0,,,,
4020332650,4/16/2016 0:00,1,77,77,,1.283333333,1.283333333,,0,,1,,,,
4020332650,5/3/2016 0:00,1,322,332,,5.366666667,5.533333333,,10,,1,,,,
4020332650,5/4/2016 0:00,1,478,536,,7.966666667,8.933333333,,58,,1,,,,
4020332650,5/5/2016 0:00,1,226,248,,3.766666667,4.133333333,,22,,1,,,,
4020332650,5/6/2016 0:00,1,385,408,,6.416666667,6.8,,23,,1,,,,
4020332650,5/8/2016 0:00,1,364,402,,6.066666667,6.7,,38,,1,,,,
4020332650,5/10/2016 0:00,1,442,494,,7.366666667,8.233333333,,52,,1,,,,
4319703577,4/14/2016 0:00,1,535,557,,8.916666667,9.283333333,,22,,0,,,,
4319703577,4/15/2016 0:00,1,465,491,,7.75,8.183333333,,26,,1,,,,
4319703577,4/16/2016 0:00,1,506,522,,8.433333333,8.7,,16,,0,,,,
4319703577,4/18/2016 0:00,1,515,551,,8.583333333,9.183333333,,36,,0,,,,
4319703577,4/19/2016 0:00,2,461,498,,7.683333333,8.3,,37,,1,,,,
4319703577,4/20/2016 0:00,1,523,543,,8.716666667,9.05,,20,,0,,,,
4319703577,4/21/2016 0:00,1,59,65,,0.983333333,1.083333333,,6,,1,,,,
4319703577,4/22/2016 0:00,1,533,550,,8.883333333,9.166666667,,17,,0,,,,
4319703577,4/23/2016 0:00,1,692,722,,11.53333333,12.03333333,,30,,0,,,,
4319703577,4/24/2016 0:00,1,467,501,,7.783333333,8.35,,34,,1,,,,
4319703577,4/25/2016 0:00,1,488,506,,8.133333333,8.433333333,,18,,0,,,,
4319703577,4/26/2016 0:00,1,505,516,,8.416666667,8.6,,11,,0,,,,
4319703577,4/27/2016 0:00,1,286,307,,4.766666667,5.116666667,,21,,1,,,,
4319703577,4/28/2016 0:00,1,497,522,,8.283333333,8.7,,25,,0,,,,
4319703577,4/29/2016 0:00,1,523,546,,8.716666667,9.1,,23,,0,,,,
4319703577,4/30/2016 0:00,1,490,516,,8.166666667,8.6,,26,,0,,,,
4319703577,5/1/2016 0:00,1,484,500,,8.066666667,8.333333333,,16,,0,,,,
4319703577,5/2/2016 0:00,1,478,506,,7.966666667,8.433333333,,28,,1,,,,
4319703577,5/3/2016 0:00,1,474,512,,7.9,8.533333333,,38,,1,,,,
4319703577,5/6/2016 0:00,1,450,491,,7.5,8.183333333,,41,,1,,,,
4319703577,5/7/2016 0:00,1,507,530,,8.45,8.833333333,,23,,0,,,,
4319703577,5/8/2016 0:00,1,602,638,,10.03333333,10.63333333,,36,,0,,,,
4319703577,5/9/2016 0:00,1,535,565,,8.916666667,9.416666667,,30,,0,,,,
4319703577,5/10/2016 0:00,1,487,517,,8.116666667,8.616666667,,30,,0,,,,
4319703577,5/11/2016 0:00,1,529,558,,8.816666667,9.3,,29,,0,,,,
4319703577,5/12/2016 0:00,1,302,321,,5.033333333,5.35,,19,,1,,,,
4388161847,4/15/2016 0:00,1,499,526,,8.316666667,8.766666667,,27,,0,,,,
4388161847,4/16/2016 0:00,2,426,448,,7.1,7.466666667,,22,,1,,,,
4388161847,4/17/2016 0:00,2,619,641,,10.31666667,10.68333333,,22,,0,,,,
4388161847,4/18/2016 0:00,1,99,104,,1.65,1.733333333,,5,,1,,,,
4388161847,4/19/2016 0:00,1,329,338,,5.483333333,5.633333333,,9,,1,,,,
4388161847,4/20/2016 0:00,1,421,451,,7.016666667,7.516666667,,30,,1,,,,
4388161847,4/21/2016 0:00,1,442,458,,7.366666667,7.633333333,,16,,1,,,,
4388161847,4/22/2016 0:00,1,82,85,,1.366666667,1.416666667,,3,,1,,,,
4388161847,4/23/2016 0:00,1,478,501,,7.966666667,8.35,,23,,1,,,,
4388161847,4/24/2016 0:00,3,552,595,,9.2,9.916666667,,43,,0,,,,
4388161847,4/26/2016 0:00,1,319,346,,5.316666667,5.766666667,,27,,1,,,,
4388161847,4/27/2016 0:00,1,439,500,,7.316666667,8.333333333,,61,,1,,,,
4388161847,4/28/2016 0:00,1,428,458,,7.133333333,7.633333333,,30,,1,,,,
4388161847,4/30/2016 0:00,2,409,430,,6.816666667,7.166666667,,21,,1,,,,
4388161847,5/1/2016 0:00,1,547,597,,9.116666667,9.95,,50,,0,,,,
4388161847,5/2/2016 0:00,2,368,376,,6.133333333,6.266666667,,8,,1,,,,
4388161847,5/4/2016 0:00,1,390,414,,6.5,6.9,,24,,1,,,,
4388161847,5/5/2016 0:00,1,471,495,,7.85,8.25,,24,,1,,,,
4388161847,5/5/2016 0:00,1,471,495,,7.85,8.25,,24,,1,,,,
4388161847,5/7/2016 0:00,1,472,496,,7.866666667,8.266666667,,24,,1,,,,
4388161847,5/8/2016 0:00,2,529,541,,8.816666667,9.016666667,,12,,0,,,,
4388161847,5/9/2016 0:00,1,62,65,,1.033333333,1.083333333,,3,,1,,,,
4388161847,5/10/2016 0:00,1,354,375,,5.9,6.25,,21,,1,,,,
4388161847,5/11/2016 0:00,1,469,494,,7.816666667,8.233333333,,25,,1,,,,
4445114986,4/12/2016 0:00,2,429,457,,7.15,7.616666667,,28,,1,,,,
4445114986,4/13/2016 0:00,2,370,406,,6.166666667,6.766666667,,36,,1,,,,
4445114986,4/14/2016 0:00,1,441,492,,7.35,8.2,,51,,1,,,,
4445114986,4/15/2016 0:00,2,337,379,,5.616666667,6.316666667,,42,,1,,,,
4445114986,4/16/2016 0:00,1,462,499,,7.7,8.316666667,,37,,1,,,,
4445114986,4/17/2016 0:00,1,98,107,,1.633333333,1.783333333,,9,,1,,,,
4445114986,4/19/2016 0:00,2,388,424,,6.466666667,7.066666667,,36,,1,,,,
4445114986,4/20/2016 0:00,1,439,462,,7.316666667,7.7,,23,,1,,,,
4445114986,4/21/2016 0:00,1,436,469,,7.266666667,7.816666667,,33,,1,,,,
4445114986,4/22/2016 0:00,1,388,417,,6.466666667,6.95,,29,,1,,,,
4445114986,4/25/2016 0:00,1,328,345,,5.466666667,5.75,,17,,1,,,,
4445114986,4/26/2016 0:00,2,353,391,,5.883333333,6.516666667,,38,,1,,,,
4445114986,4/27/2016 0:00,1,332,374,,5.533333333,6.233333333,,42,,1,,,,
4445114986,4/28/2016 0:00,1,419,442,,6.983333333,7.366666667,,23,,1,,,,
4445114986,4/29/2016 0:00,1,106,108,,1.766666667,1.8,,2,,1,,,,
4445114986,4/30/2016 0:00,1,322,353,,5.366666667,5.883333333,,31,,1,,,,
4445114986,5/1/2016 0:00,2,439,459,,7.316666667,7.65,,20,,1,,,,
4445114986,5/2/2016 0:00,1,502,542,,8.366666667,9.033333333,,40,,0,,,,
4445114986,5/3/2016 0:00,2,417,450,,6.95,7.5,,33,,1,,,,
4445114986,5/4/2016 0:00,2,337,363,,5.616666667,6.05,,26,,1,,,,
4445114986,5/5/2016 0:00,2,462,513,,7.7,8.55,,51,,1,,,,
4445114986,5/6/2016 0:00,2,374,402,,6.233333333,6.7,,28,,1,,,,
4445114986,5/7/2016 0:00,2,401,436,,6.683333333,7.266666667,,35,,1,,,,
4445114986,5/8/2016 0:00,1,361,391,,6.016666667,6.516666667,,30,,1,,,,
4445114986,5/9/2016 0:00,1,457,533,,7.616666667,8.883333333,,76,,1,,,,
4445114986,5/10/2016 0:00,1,405,426,,6.75,7.1,,21,,1,,,,
4445114986,5/11/2016 0:00,1,499,530,,8.316666667,8.833333333,,31,,0,,,,
4445114986,5/12/2016 0:00,1,483,501,,8.05,8.35,,18,,0,,,,
4558609924,4/21/2016 0:00,1,126,137,,2.1,2.283333333,,11,,1,,,,
4558609924,4/26/2016 0:00,1,103,121,,1.716666667,2.016666667,,18,,1,,,,
4558609924,4/29/2016 0:00,1,171,179,,2.85,2.983333333,,8,,1,,,,
4558609924,5/1/2016 0:00,1,115,129,,1.916666667,2.15,,14,,1,,,,
4558609924,5/8/2016 0:00,1,123,134,,2.05,2.233333333,,11,,1,,,,
4702921684,4/12/2016 0:00,1,425,439,,7.083333333,7.316666667,,14,,1,,,,
4702921684,4/13/2016 0:00,2,400,430,,6.666666667,7.166666667,,30,,1,,,,
4702921684,4/14/2016 0:00,1,384,415,,6.4,6.916666667,,31,,1,,,,
4702921684,4/15/2016 0:00,1,253,257,,4.216666667,4.283333333,,4,,1,,,,
4702921684,4/16/2016 0:00,2,382,406,,6.366666667,6.766666667,,24,,1,,,,
4702921684,4/17/2016 0:00,1,591,612,,9.85,10.2,,21,,0,,,,
4702921684,4/18/2016 0:00,1,293,312,,4.883333333,5.2,,19,,1,,,,
4702921684,4/19/2016 0:00,1,457,487,,7.616666667,8.116666667,,30,,1,,,,
4702921684,4/20/2016 0:00,1,454,468,,7.566666667,7.8,,14,,1,,,,
4702921684,4/21/2016 0:00,1,425,434,,7.083333333,7.233333333,,9,,1,,,,
4702921684,4/23/2016 0:00,1,465,475,,7.75,7.916666667,,10,,1,,,,
4702921684,4/24/2016 0:00,1,480,506,,8,8.433333333,,26,,0,,,,
4702921684,4/25/2016 0:00,1,370,380,,6.166666667,6.333333333,,10,,1,,,,
4702921684,4/26/2016 0:00,1,421,429,,7.016666667,7.15,,8,,1,,,,
4702921684,4/27/2016 0:00,1,432,449,,7.2,7.483333333,,17,,1,,,,
4702921684,4/28/2016 0:00,1,442,461,,7.366666667,7.683333333,,19,,1,,,,
4702921684,4/29/2016 0:00,1,433,447,,7.216666667,7.45,,14,,1,,,,
4702921684,4/30/2016 0:00,1,479,501,,7.983333333,8.35,,22,,1,,,,
4702921684,5/3/2016 0:00,1,327,373,,5.45,6.216666667,,46,,1,,,,
4702921684,5/4/2016 0:00,1,412,434,,6.866666667,7.233333333,,22,,1,,,,
4702921684,5/5/2016 0:00,1,414,428,,6.9,7.133333333,,14,,1,,,,
4702921684,5/6/2016 0:00,1,404,449,,6.733333333,7.483333333,,45,,1,,,,
4702921684,5/7/2016 0:00,1,520,543,,8.666666667,9.05,,23,,0,,,,
4702921684,5/7/2016 0:00,1,520,543,,8.666666667,9.05,,23,,0,,,,
4702921684,5/9/2016 0:00,1,435,458,,7.25,7.633333333,,23,,1,,,,
4702921684,5/10/2016 0:00,1,416,431,,6.933333333,7.183333333,,15,,1,,,,
4702921684,5/11/2016 0:00,1,354,366,,5.9,6.1,,12,,1,,,,
4702921684,5/12/2016 0:00,1,404,442,,6.733333333,7.366666667,,38,,1,,,,
5553957443,4/12/2016 0:00,1,441,464,,7.35,7.733333333,,23,,1,,,,
5553957443,4/13/2016 0:00,2,455,488,,7.583333333,8.133333333,,33,,1,,,,
5553957443,4/14/2016 0:00,1,357,418,,5.95,6.966666667,,61,,1,,,,
5553957443,4/15/2016 0:00,1,377,409,,6.283333333,6.816666667,,32,,1,,,,
5553957443,4/16/2016 0:00,2,651,686,,10.85,11.43333333,,35,,0,,,,
5553957443,4/17/2016 0:00,1,350,402,,5.833333333,6.7,,52,,1,,,,
5553957443,4/18/2016 0:00,2,520,541,,8.666666667,9.016666667,,21,,0,,,,
5553957443,4/19/2016 0:00,1,357,410,,5.95,6.833333333,,53,,1,,,,
5553957443,4/20/2016 0:00,1,658,678,,10.96666667,11.3,,20,,0,,,,
5553957443,4/21/2016 0:00,1,399,431,,6.65,7.183333333,,32,,1,,,,
5553957443,4/22/2016 0:00,1,322,353,,5.366666667,5.883333333,,31,,1,,,,
5553957443,4/23/2016 0:00,2,631,725,,10.51666667,12.08333333,,94,,0,,,,
5553957443,4/24/2016 0:00,2,553,640,,9.216666667,10.66666667,,87,,0,,,,
5553957443,4/25/2016 0:00,1,433,468,,7.216666667,7.8,,35,,1,,,,
5553957443,4/26/2016 0:00,1,412,453,,6.866666667,7.55,,41,,1,,,,
5553957443,4/27/2016 0:00,1,347,391,,5.783333333,6.516666667,,44,,1,,,,
5553957443,4/28/2016 0:00,1,421,457,,7.016666667,7.616666667,,36,,1,,,,
5553957443,4/29/2016 0:00,1,450,495,,7.5,8.25,,45,,1,,,,
5553957443,4/30/2016 0:00,2,775,843,,12.91666667,14.05,,68,,0,,,,
5553957443,5/1/2016 0:00,2,622,686,,10.36666667,11.43333333,,64,,0,,,,
5553957443,5/2/2016 0:00,1,409,471,,6.816666667,7.85,,62,,1,,,,
5553957443,5/3/2016 0:00,1,380,429,,6.333333333,7.15,,49,,1,,,,
5553957443,5/4/2016 0:00,1,447,470,,7.45,7.833333333,,23,,1,,,,
5553957443,5/5/2016 0:00,1,419,464,,6.983333333,7.733333333,,45,,1,,,,
5553957443,5/6/2016 0:00,1,400,434,,6.666666667,7.233333333,,34,,1,,,,
5553957443,5/7/2016 0:00,1,442,470,,7.366666667,7.833333333,,28,,1,,,,
5553957443,5/8/2016 0:00,1,568,608,,9.466666667,10.13333333,,40,,0,,,,
5553957443,5/9/2016 0:00,1,453,494,,7.55,8.233333333,,41,,1,,,,
5553957443,5/10/2016 0:00,1,418,443,,6.966666667,7.383333333,,25,,1,,,,
5553957443,5/11/2016 0:00,1,463,486,,7.716666667,8.1,,23,,1,,,,
5553957443,5/12/2016 0:00,1,438,475,,7.3,7.916666667,,37,,1,,,,
5577150313,4/12/2016 0:00,1,419,438,,6.983333333,7.3,,19,,1,,,,
5577150313,4/13/2016 0:00,1,432,458,,7.2,7.633333333,,26,,1,,,,
5577150313,4/14/2016 0:00,1,477,497,,7.95,8.283333333,,20,,1,,,,
5577150313,4/15/2016 0:00,1,392,413,,6.533333333,6.883333333,,21,,1,,,,
5577150313,4/16/2016 0:00,1,406,445,,6.766666667,7.416666667,,39,,1,,,,
5577150313,4/17/2016 0:00,1,549,583,,9.15,9.716666667,,34,,0,,,,
5577150313,4/18/2016 0:00,1,527,553,,8.783333333,9.216666667,,26,,0,,,,
5577150313,4/19/2016 0:00,1,449,465,,7.483333333,7.75,,16,,1,,,,
5577150313,4/20/2016 0:00,1,447,480,,7.45,8,,33,,1,,,,
5577150313,4/21/2016 0:00,1,414,437,,6.9,7.283333333,,23,,1,,,,
5577150313,4/22/2016 0:00,1,338,366,,5.633333333,6.1,,28,,1,,,,
5577150313,4/23/2016 0:00,1,384,402,,6.4,6.7,,18,,1,,,,
5577150313,4/24/2016 0:00,1,543,615,,9.05,10.25,,72,,0,,,,
5577150313,4/25/2016 0:00,1,421,461,,7.016666667,7.683333333,,40,,1,,,,
5577150313,4/26/2016 0:00,1,354,377,,5.9,6.283333333,,23,,1,,,,
5577150313,4/27/2016 0:00,1,424,452,,7.066666667,7.533333333,,28,,1,,,,
5577150313,4/28/2016 0:00,1,361,372,,6.016666667,6.2,,11,,1,,,,
5577150313,4/29/2016 0:00,1,459,485,,7.65,8.083333333,,26,,1,,,,
5577150313,4/30/2016 0:00,1,412,433,,6.866666667,7.216666667,,21,,1,,,,
5577150313,5/1/2016 0:00,1,379,398,,6.316666667,6.633333333,,19,,1,,,,
5577150313,5/2/2016 0:00,2,525,553,,8.75,9.216666667,,28,,0,,,,
5577150313,5/3/2016 0:00,1,508,543,,8.466666667,9.05,,35,,0,,,,
5577150313,5/4/2016 0:00,1,603,634,,10.05,10.56666667,,31,,0,,,,
5577150313,5/5/2016 0:00,1,74,78,,1.233333333,1.3,,4,,1,,,,
5577150313,5/10/2016 0:00,1,504,562,,8.4,9.366666667,,58,,0,,,,
5577150313,5/11/2016 0:00,1,431,476,,7.183333333,7.933333333,,45,,1,,,,
6117666160,4/16/2016 0:00,1,380,398,,6.333333333,6.633333333,,18,,1,,,,
6117666160,4/17/2016 0:00,2,336,350,,5.6,5.833333333,,14,,1,,,,
6117666160,4/18/2016 0:00,2,493,510,,8.216666667,8.5,,17,,0,,,,
6117666160,4/19/2016 0:00,1,465,492,,7.75,8.2,,27,,1,,,,
6117666160,4/20/2016 0:00,1,474,502,,7.9,8.366666667,,28,,1,,,,
6117666160,4/21/2016 0:00,1,508,550,,8.466666667,9.166666667,,42,,0,,,,
6117666160,4/22/2016 0:00,1,480,546,,8,9.1,,66,,0,,,,
6117666160,4/23/2016 0:00,1,492,539,,8.2,8.983333333,,47,,0,,,,
6117666160,4/24/2016 0:00,1,353,367,,5.883333333,6.116666667,,14,,1,,,,
6117666160,4/27/2016 0:00,1,542,557,,9.033333333,9.283333333,,15,,0,,,,
6117666160,4/28/2016 0:00,1,393,416,,6.55,6.933333333,,23,,1,,,,
6117666160,4/29/2016 0:00,1,600,636,,10,10.6,,36,,0,,,,
6117666160,5/1/2016 0:00,1,507,575,,8.45,9.583333333,,68,,0,,,,
6117666160,5/5/2016 0:00,1,392,415,,6.533333333,6.916666667,,23,,1,,,,
6117666160,5/6/2016 0:00,2,658,698,,10.96666667,11.63333333,,40,,0,,,,
6117666160,5/7/2016 0:00,2,498,507,,8.3,8.45,,9,,0,,,,
6117666160,5/8/2016 0:00,1,555,603,,9.25,10.05,,48,,0,,,,
6117666160,5/9/2016 0:00,1,492,522,,8.2,8.7,,30,,0,,,,
6775888955,4/13/2016 0:00,1,235,260,,3.916666667,4.333333333,,25,,1,,,,
6775888955,4/14/2016 0:00,1,423,441,,7.05,7.35,,18,,1,,,,
6775888955,4/15/2016 0:00,1,391,406,,6.516666667,6.766666667,,15,,1,,,,
6962181067,4/12/2016 0:00,1,366,387,,6.1,6.45,,21,,1,,,,
6962181067,4/13/2016 0:00,3,630,679,,10.5,11.31666667,,49,,0,,,,
6962181067,4/14/2016 0:00,2,508,535,,8.466666667,8.916666667,,27,,0,,,,
6962181067,4/15/2016 0:00,1,370,386,,6.166666667,6.433333333,,16,,1,,,,
6962181067,4/16/2016 0:00,1,357,366,,5.95,6.1,,9,,1,,,,
